股票代码-0,股票名称-1,限价单最大下单量-16,限价单最小下单量-17,最小变动价位-18,创建日-19,昨日收盘价-2,上市日-20,到期日-21,昨日结算-3,合约在RZRK的代码-32,合约在交易所的代码-33,利息额-35,除权除息-36,停牌-37,昨日持仓-4,涨停价-5,投资者适当性管理分类-50,最小回购天数-52,跌停价-6,总股本-7,流通盘-8,合约数量乘数-9,股票-S
538, \4e91\5357\767d\836f, 0L, 0L,0.01, ,104.22,19931215, ,0,538,538,0, N,0,0,114.64,0,0,93.8, 1041399718L, 1041392430L,1,538,
539, \7ca4\7535\529b\ff21, 0L, 0L,0.01, ,4.57,19931126, ,0,539,539,0, N,0,0,5.03,0,0,4.11, 5250283986L, 3352317163L,1,539,
540, \4e2d\5929\91d1\878d, 0L, 0L,0.01, ,4.87,19940202, ,0,540,540,0, N,205,0,5.36,0,0,4.38, 7046497179L, 6505530636L,1,540,
541, \4f5b\5c71\7167\660e, 0L, 0L,0.01, ,5.91,19931123, ,0,541,541,0, N,0,0,6.5,0,0,5.32, 1399346154L, 1385377499L,1,541,
543, \7696\80fd\7535\529b, 0L, 0L,0.01, ,4.8,19931220, ,0,543,543,0, N,0,0,5.28,0,0,4.32, 1790395978L, 1790395978L,1,543,
544, \4e2d\539f\73af\4fdd, 0L, 0L,0.01, ,7.08,19931208, ,0,544,544,0, N,0,0,7.79,0,0,6.37, 974684488L, 521650284L,1,544,
545, \91d1\6d66\949b\4e1a, 0L, 0L,0.01, ,3.76,20130726, ,0,545,545,0, N,30,0,4.14,0,0,3.38, 986833096L, 959403096L,1,545,
546, \91d1\5706\80a1\4efd, 0L, 0L,0.01, ,13.5,20020808, ,0,546,546,0, N,0,0,14.85,0,0,12.15, 714644396L, 572649777L,1,546,
547, \822a\5929\53d1\5c55, 0L, 0L,0.01, ,7.62,19931130, ,0,547,547,0, N,0,0,8.38,0,0,6.86, 1429628897L, 965835750L,1,547,
548, \6e56\5357\6295\8d44, 0L, 0L,0.01, ,4.18,19931220, ,0,548,548,0, N,0,0,4.6,0,0,3.76, 499215811L, 499201046L,1,548,
550, \6c5f\94c3\6c7d\8f66, 0L, 0L,0.01, ,12.06,19931201, ,0,550,550,0, N,0,0,13.27,0,0,10.85, 863214000L, 862427145L,1,550,
551, \521b\5143\79d1\6280, 0L, 0L,0.01, ,6.06,19940106, ,0,551,551,0, N,0,0,6.67,0,0,5.45, 400080405L, 400080405L,1,551,
552, \9756\8fdc\7164\7535, 0L, 0L,0.01, ,3.21,20060330, ,0,552,552,0, N,0,0,3.53,0,0,2.89, 2286971050L, 1557438726L,1,552,
553, \6c99\9686\8fbe\ff21, 0L, 0L,0.01, ,15.32,19931203, ,0,553,553,0, N,0,0,16.85,0,0,13.79, 2446553582L, 411259484L,1,553,
554, \6cf0\5c71\77f3\6cb9, 0L, 0L,0.01, ,5.63,19931215, ,0,554,554,0, N,0,0,6.19,0,0,5.07, 480793320L, 362649713L,1,554,
555, \795e\5dde\4fe1\606f, 0L, 0L,0.01, ,12.9,19940408, ,0,555,555,0, N,0,0,14.19,0,0,11.61, 963431273L, 936170003L,1,555,
557, \897f\90e8\521b\4e1a, 0L, 0L,0.01, ,3.25,20021216, ,0,557,557,0, N,0,0,3.58,0,0,2.93, 1458374735L, 585245214L,1,557,
558, \83b1\8335\4f53\80b2, 0L, 0L,0.01, ,3.45,19940509, ,0,558,558,0, N,0,0,3.8,0,0,3.11, 1289223949L, 1288328279L,1,558,
559, \4e07\5411\94b1\6f6e, 0L, 0L,0.01, ,6.71,19940110, ,0,559,559,0, N,0,0,7.38,0,0,6.04, 2753159454L, 2753149374L,1,559,
560, \6211\7231\6211\5bb6, 0L, 0L,0.01, ,5.77,19940202, ,0,560,560,0, N,0,0,6.35,0,0,5.19, 2355500851L, 1129579024L,1,560,
